asset,model,confidence_level,method,period,n_obs,expected_breaches,actual_breaches,breach_rate,kupiec_lr,kupiec_p_value,christoffersen_lr,christoffersen_p_value,es_tail_loss_ratio,avg_breach_size,max_cluster_length,avg_days_between_breaches
MSFT,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,61,0.055505004549590536,0.6780484669573639,0.41025953852249464,0.7367635422941703,0.3906996074350174,0.9742791983441187,0.009809867832960603,2,26.266666666666666
MSFT,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,10,0.009099181073703366,0.09288703739709092,0.7605384770378237,0.18382611764481283,0.6681055469475126,1.0668345200238616,0.015054862189635736,1,137.11111111111111
NVDA,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,49,0.044585987261146494,0.7027130761239277,0.40187356029709553,0.29979414166831475,0.584011504227749,0.8846466188455966,0.013546179364637676,2,32.375
NVDA,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,2,0.0018198362147406734,11.238724393469703,0.0008010819367978428,0.007299274120189381,0.931914941293742,1.2976064904522864,0.05631648700566676,1,283.0
NVDA,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,49,0.044585987261146494,0.7027130761239277,0.40187356029709553,0.29979414166831475,0.584011504227749,0.8956128920944219,0.013890883723363119,2,32.375
NVDA,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,2,0.0018198362147406734,11.238724393469703,0.0008010819367978428,0.007299274120189381,0.931914941293742,1.2981348423660737,0.05634845644208305,1,283.0
NVDA,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,48,0.04367606915377616,0.9647859151633043,0.32598400826358576,0.005115315259786257,0.9429827678292971,0.9087392892036749,0.014268812596119103,2,32.744680851063826
NVDA,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,3,0.00272975432211101,8.248292037102864,0.004079036322261476,0.016438376723129977,0.8979810193360448,1.1590446959258518,0.041117414787000435,1,157.0
NVDA,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,48,0.04367606915377616,0.9647859151633043,0.32598400826358576,0.005115315259786257,0.9429827678292971,0.9105152180430846,0.014360548481196965,2,32.744680851063826
NVDA,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,3,0.00272975432211101,8.248292037102864,0.004079036322261476,0.016438376723129977,0.8979810193360448,1.1613948225203616,0.04127333244489229,1,157.0
QQQ,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,69,0.06278434940855324,3.5101573648505564,0.060993661894139906,0.11097415143706257,0.7390377923388965,0.8997717359185493,0.006240788421677536,2,22.676470588235293
QQQ,ewma_094,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,7,0.006369426751592357,1.679555785288244,0.19498348865188797,4.58431814176771,0.03226580652645428,0.9859311726699214,0.010222246366795085,2,187.16666666666666
QQQ,ewma_tuned,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,62,0.056414922656960874,0.9158403149458536,0.338569545338982,0.64576267503287,0.4216317201114691,0.9230324771416285,0.006787879953788853,2,25.278688524590162
QQQ,ewma_tuned,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,11,0.010009099181073703,9.188333663701087e-06,0.9975814349357897,2.7815871730451107,0.09535363009753384,0.9351020268741502,0.006880557933781959,2,122.5
QQQ,ewma_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,60,0.0545950864422202,0.4749717554956874,0.4907087762921991,0.027203007130822243,0.8689964490644402,0.9232621784528494,0.0068967662495502124,2,26.11864406779661
QQQ,ewma_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,11,0.010009099181073703,9.188333663701087e-06,0.9975814349357897,2.7815871730451107,0.09535363009753384,0.9152068320563418,0.006342802823034513,2,122.5
QQQ,har_rolling_update,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,60,0.0545950864422202,0.4749717554956874,0.4907087762921991,0.027203007130822243,0.8689964490644402,0.925943813076913,0.006958373861699929,2,26.11864406779661
QQQ,har_rolling_update,0.99,validation_student_t_residual_df5,test,1099,10.990000000000009,11,0.010009099181073703,9.188333663701087e-06,0.9975814349357897,2.7815871730451107,0.09535363009753384,0.9145815076874951,0.0063222484547420165,2,122.5
SPY,ewma_094,0.95,validation_student_t_residual_df5,test,1099,54.950000000000045,64,0.05823475887170155,1.4934780859202874,0.2216775983781144,1.3421097175589125,0.24666225771064743,0.9435157613668855,0.00556743432905367,3,24.476190476190474
